NODE_ID,TYPE,NAME
n_637,Phenotypes,Severe renal impairment — memantine hydrochloride should be avoided if the estimated glomerular filtration rate (eGFR) is less than 5 mL/minute/1.73 m².
n_638,Phenotypes,History of convulsions or predisposing factors for epilepsy. 
n_639,Phenotypes,Severe renal impairment
n_640,Phenotypes,"Central nervous system depression, comatose states."
n_641,Phenotypes,"Congenital long QT syndrome, history of Torsade de Pointes, QTc interval"
n_642,Phenotypes,"prolongation, concurrent use with drugs that prolong the QT interval, history of"
n_643,Phenotypes,"ventricular arrhythmias, recent myocardial infarction, uncompensated heart failure."
n_644,Phenotypes,Uncorrected hypokalaemia.
n_645,Phenotypes,Progressive supranuclear palsy.
n_646,Phenotypes,Dementia with Lewy bodies.
n_647,Phenotypes,Parkinson's disease.
n_648,Phenotypes,Blood dyscrasias.
n_649,Phenotypes,"Cardiovascular disease — an ECG may be required, particularly if physical examination identifies cardiovascular risk factors, personal history of cardiovascular disease."
n_650,Phenotypes,Conditions predisposing to seizures.
n_651,Phenotypes,Depression.
n_652,Phenotypes,Diabetes (may raise blood glucose).
n_653,Phenotypes,Epilepsy.
n_654,Phenotypes,History of jaundice.
n_655,Phenotypes,Myasthenia gravis.
n_656,Phenotypes,Parkinsonʼs disease (may be exacerbated).
n_657,Phenotypes,Photosensitization (may occur with higher dosages).
n_658,Phenotypes,Prostatic hypertrophy.
n_659,Phenotypes,Severe respiratory disease.
n_660,Phenotypes,Susceptibility to angle-closure glaucoma
n_661,Phenotypes,Bradycardia.
n_662,Phenotypes,Uncorrected electrolyte disturbances.
n_663,Phenotypes,Family history of QTc-interval prolongation.
n_664,Phenotypes,History of heavy alcohol exposure.
n_665,Phenotypes,Hyperthyroidism.
n_666,Phenotypes,Hypotension (including orthostatic hypotension).
n_667,Phenotypes,Prolactin-dependent tumours.
n_668,Phenotypes,Prolactinaemia.
n_669,Phenotypes,Risk factors for stroke.
n_670,Phenotypes,Hypersensitivity to risperidone or to any of the excipients.
n_671,Phenotypes,Acute porphyrias.
n_672,Phenotypes,Cataract surgery (risk of intra-operative floppy iris syndrome).
n_673,Phenotypes,Dehydration.
n_674,Monitoring,Weight monthly
n_675,Stage,初期
n_676,Duration,4-6 week
n_677,Dosage,Donepezil 5-10 mg/day
n_678,Dosage,Rivastigmine 1.5-6mg/day*2
n_679,Treatment,Galantamine  Treatment (NICE)
n_680,Dosage,Galantamine 4mg/day*2
n_681,Dosage,Memantine 5-20mg/day
n_682,SideEffect,decreased appetite
n_683,SideEffect,Depressed
n_684,SideEffect,Weight lose
n_685,SideEffect,Hallucination
n_686,SideEffect,Myalgia
n_687,Phenotypes,"Difficulties with instrumental activities of daily living (e.g. housework, managing money)."
n_688,Phenotypes,"Difficulties with basic activities of daily living (e.g. feeding,dressing)."
n_689,Phenotypes,Fully dependent
n_690,Evidence,Moderate to Low quality
n_691,Duration,12-24 week
n_692,Population,Mild to Severe Alzheimer's Disease (MMSE 0-26) (ADAS-Cog)
n_693,Duration,26 week
n_694,Dosage,Rivastigmine
n_695,Duration,Rivastigmine
n_696,Population,Rivastigmine
n_697,Treatment,Rivastigmine
n_698,SideEffect,Rivastigmine
n_699,Therapy,Rivastigmine
n_700,Effectiveness,Rivastigmine
n_701,Evidence,Rivastigmine
n_702,Step,Rivastigmine
n_703,Phenotypes,Rivastigmine
n_704,THERAPY_EFFECTIVENESS,Rivastigmine
n_705,Population,Mild to moderate Alzheimer's Disease (MMSE 10-26)
n_706,Dosage,Memantine 20 mg/day
n_707,Dosage,Memantine 28 mg/day
n_708,Evidence,Low quality (Level C)
n_709,Effectiveness,attenuates worsening of physical function and activities of daily living
n_710,Effectiveness,"improving BPSD, including anxiety"
n_711,Treatment,Suvorexant
n_712,Treatment,Donepezil Treatment (Alzheimer Society of B.C.)
n_713,Treatment,Memantine Treatment (Alzheimer Society of B.C.)
n_714,Phenotypes,memory loss 
n_715,Phenotypes,cognitive ability loss
n_716,Phenotypes,Difficultly coming up with the right word or name.
n_717,Phenotypes,Difficultly remembering names when introduced to new people.
n_718,Phenotypes,Having difficulty performing tasks in social or work settings.
n_719,Phenotypes,Forgetting material that was just read.
n_720,Phenotypes,Losing or misplacing a valuable object.
n_721,Phenotypes,Experiencing increased trouble with planning or organizing.
n_722,Phenotypes,Being forgetful of events or personal history.
n_723,Phenotypes,"Feeling moody or withdrawn, especially in socially or mentally challenging situations."
n_724,Phenotypes,"Being unable to recall information about themselves like their address or telephone number, and the high school or college they attended."
n_725,Phenotypes,Experiencing confusion about where they are or what day it is.
n_726,Phenotypes,Requiring help choosing proper clothing for the season or the occasion.
n_727,Phenotypes,Having trouble controlling their bladder and bowels.
n_728,Phenotypes,"Experiencing changes in sleep patterns, such as sleeping during the day and becoming restless at night."
n_729,Phenotypes,Showing an increased tendency to wander and become lost.
n_730,Phenotypes,"Demonstrating personality and behavioral changes, including suspiciousness and delusions or compulsive, repetitive behavior like hand-wringing or tissue shredding."
n_731,Phenotypes,Require around-the-clock assistance with daily personal care.
n_732,Phenotypes,Lose awareness of recent experiences as well as of their surroundings.
n_733,Phenotypes,"Experience changes in physical abilities, including walking, sitting and, eventually, swallowing"
n_734,Phenotypes,Have difficulty communicating.
n_735,Phenotypes,"Become vulnerable to infections, especially pneumonia."
n_736,Population, MCI to Mild Alzheimer's Disease
n_737,Population,Mild to severe Alzheimer's Disease
n_738,Population,Mild to moderate Alzheimer's Disease
n_739,Population,Moderate to severe Alzheimer's Disease
n_740,Population,Agitation associated with dementia due to Alzheimer's disease
n_741,Population,Insomnia
n_742,SideEffect,ARIA
n_743,SideEffect,headache
n_744,SideEffect,Infusion-related reactions
n_745,SideEffect,Loss of appetite
n_746,SideEffect,Increased frequency of bowel movements
n_747,SideEffect,Sleepiness
n_748,SideEffect,Common cold symptoms
n_749,SideEffect,Restlessness or feeling like  need to move
n_750,SideEffect,Impaired alertness and motor coordination
n_751,SideEffect,Worsening of depression or suicidal thinking
n_752,SideEffect,Complex sleep behaviors
n_753,SideEffect,Sleep paralysis
n_754,SideEffect,Compromised respiratory function
n_755,Therapy,Maintain regular times for meals and for going to bed and getting up
n_756,Therapy,Seek morning sunlight exposure
n_757,Therapy,"Encourage regular daily exercise, but no later than four hours before bedtime"
n_758,Therapy,"Avoid alcohol, caffeine and nicotine"
n_759,Therapy,Treat any pain
n_760,Therapy,"If the person is taking a cholinesterase inhibitor (tacrine, donepezil, rivastigmine or galantamine), avoid giving the medicine before bed"
n_761,Therapy,Make sure the bedroom temperature is comfortable
n_762,Therapy,Provide nightlights and security objects
n_763,Therapy,"If the person awakens, discourage staying in bed while awake; use the bed only for sleep"
n_764,Therapy,Discourage watching television during periods of wakefulness
n_765,Symptom,Memory loss for recent events
n_766,Symptom,Difficulty learning new information
n_767,Symptom,Subtle language problems
n_768,Symptom,Significant memory loss
n_769,Symptom,Confusion in daily activities
n_770,Symptom,Behavioral changes
n_771,Symptom,Severe memory loss
n_772,Symptom,Complete dependence on others
n_773,Symptom,Physical symptoms
n_774,Effectiveness,small significant benefit on cognitive function and ADL
n_775,Duration,Review every 6 months
n_776,Effectiveness,significant effect on ADL function at 24 weeks
n_777,Duration,2 weeks
n_778,SideEffect,Gastrointestinal
n_779,SideEffect,Falls
n_780,Condition,Severe renal impairment
n_781,Monitoring,Cognitive function (MMSE) every 6 months
s_0,source,MONDO
s_1,source,MONDO_grouped
s_2,source,REACTOME
s_3,source,Guideline
s_4,source,DrugBank
s_5,source,HPO
s_6,source,NCBI
s_7,source,CTD
